Question,main,A,B,C,D,E,F,G,Answer
Question #566 Topic 1 ,"Which of these rootkit detection techniques function by comparing a snapshot of the file system, boot records, or memory with a known and trusted baseline?",Signature-Based Detection ,Integrity-Based Detection ,Cross View-Based Detection ,Heuristic/Behavior-Based Detection ,,,,Integrity-Based Detection 
Question #567 Topic 1 ,"Which program uses different techniques to conceal a malware's code, thereby making it difficult for security mechanisms to detect or remove it?",Dropper ,Packer ,Injector ,Obfuscator ,,,,Obfuscator 
Question #568 Topic 1 ,What does the bytes 0x0B-0x53 represent in the boot sector of NTFS volume on Windows 2000?,Jump instruction and the OEM ID ,BIOS Parameter Block (BPB) and the OEM ID ,BIOS Parameter Block (BPB) and the extended BPB ,Bootstrap code and the end of the sector marker ,,,,BIOS Parameter Block (BPB) and the extended BPB 
Question #569 Topic 1 ,What does the Rule 101 of Federal Rules of Evidence states?,"Scope of the Rules, where they can be applied ",Purpose of the Rules ,Limited Admissibility of the Evidence ,Rulings on Evidence ,,,,"Scope of the Rules, where they can be applied "
Question #570 Topic 1 ,"What document does the screenshot represent?
",Expert witness form ,Search warrant form ,Chain of custody form ,Evidence collection form ,,,,Evidence collection form 
Question #571 Topic 1 ,"You are asked to build a forensic lab and your manager has specifically informed you to use copper for lining the walls, ceilings, and floor. What is the main purpose of lining the walls, ceilings, and floor with copper?",To control the room temperature ,"To strengthen the walls, ceilings, and floor ",To avoid electromagnetic emanations ,To make the lab sound proof ,,,,To make the lab sound proof 
Question #572 Topic 1 ,"James is dealing with a case regarding a cybercrime that has taken place in Arizona, USA. James needs to lawfully seize the evidence from an electronic device without affecting the user's anonymity. Which of the following law should he comply with, before retrieving the evidence?",First Amendment of the U.S. Constitution ,Fourth Amendment of the U.S. Constitution ,Third Amendment of the U.S. Constitution ,Fifth Amendment of the U.S. Constitution ,,,,Fifth Amendment of the U.S. Constitution 
Question #573 Topic 1 ,Which of the following stand true for BIOS Parameter Block?,The BIOS Partition Block describes the physical layout of a data storage volume ,The BIOS Partition Block is the first sector of a data storage device ,The length of BIOS Partition Block remains the same across all the file systems ,The BIOS Partition Block always refers to the 512-byte boot sector ,,,,The BIOS Partition Block describes the physical layout of a data storage volume 
Question #574 Topic 1 ,Which Event Correlation approach assumes and predicts what an attacker can do next after the attack by studying statistics and probability?,Profile/Fingerprint-Based Approach ,Bayesian Correlation ,Time (Clock Time) or Role-Based Approach ,Automated Field Correlation ,,,,Bayesian Correlation 
Question #575 Topic 1 ,"MAC filtering is a security access control methodology, where a ___________ is assigned to each network card to determine access to the network.",48-bit address ,24-bit address ,16-bit address ,32-bit address ,,,,48-bit address 
Question #576 Topic 1 ,"Which of the following files store the MySQL database data permanently, including the data that had been deleted, helping the forensic investigator in examining the case and finding the culprit?",mysql-bin ,mysql-log ,iblog ,ibdata1 ,,,,ibdata1 
Question #577 Topic 1 ,Which tool allows dumping the contents of process memory without stopping the process?,psdump.exe ,pmdump.exe ,processdump.exe ,pdump.exe ,,,,pmdump.exe 
Question #578 Topic 1 ,Which component in the hard disk moves over the platter to read and write information?,Actuator ,Spindle ,Actuator Axis ,Head ,,,,Head 
Question #579 Topic 1 ,"William is examining a log entry that reads 192.168.0.1 - - [18/Jan/2020:12:42:29 +0000] ""GET / HTTP/1.1"" 200 1861. Which of the following logs does the log entry belong to?",The common log format of Apache access log ,IIS log ,The combined log format of Apache access log ,Apache error log ,,,,The common log format of Apache access log 
Question #580 Topic 1 ,"In a Filesystem Hierarchy Standard (FHS), which of the following directories contains the binary files required for working?",/mnt ,/sbin ,/media ,/proc ,,,,/sbin 
Question #581 Topic 1 ,A forensic examiner encounters a computer with a failed OS installation and the master boot record (MBR) or partition sector damaged. Which of the following tools can find and restore files and information in the disk?,NetCat ,Helix ,R-Studio ,Wireshark ,,,,R-Studio 
Question #582 Topic 1 ,Assume there is a file named myfile.txt in C: drive that contains hidden data streams. Which of the following commands would you issue to display the contents of a data stream?,echo text > program:source_file ,C:\>ECHO text_message > myfile.txt:stream1 ,C:\MORE < myfile.txt:stream1 ,myfile.dat:stream1 ,,,,C:\>ECHO text_message > myfile.txt:stream1 
Question #583 Topic 1 ,"Cybercriminals sometimes use compromised computers to commit other crimes, which may involve using computers or networks to spread malware or illegal information. Which type of cybercrime stops users from using a device or network, or prevents a company from providing a software service to its customers?",Malware attack ,Denial-of-Service (DoS) attack ,Phishing ,Ransomware attack ,,,,Denial-of-Service (DoS) attack 
Question #584 Topic 1 ,"Ronald, a forensic investigator, has been hired by a financial services organization to investigate an attack on their MySQL database server, which is hosted on a
Windows machine named WIN-DTRAI83202X. Ronald wants to retrieve information on the changes that have been made to the database. Which of the following files should Ronald examine for this task?",WIN-DTRAI83202X-bin.nnnnnn ,WIN-DTRAI83202Xslow.log ,relay-log.info ,WIN-DTRAI83202Xrelay-bin.index ,,,,WIN-DTRAI83202X-bin.nnnnnn 
Question #585 Topic 1 ,"Which OWASP IoT vulnerability talks about security flaws such as lack of firmware validation, lack of secure delivery, and lack of anti-rollback mechanisms on IoT devices?",Insecure default settings ,Use of insecure or outdated components ,Lack of secure update mechanism ,Insecure data transfer and storage ,,,,Lack of secure update mechanism 
Question #586 Topic 1 ,Which of the following malware targets Android mobile devices and installs a backdoor that remotely installs applications from an attacker-controlled server?,Unflod ,Felix ,XcodeGhost ,xHelper ,,,,xHelper 
Question #587 Topic 1 ,"Which of the following tools is used to dump the memory of a running process, either immediately or when an error condition occurs?",CacheInf ,FATKit ,Belkasoft Live RAM Capturer ,Coreography ,,,,Belkasoft Live RAM Capturer 
Question #588 Topic 1 ,"Which Federal Rule of Evidence speaks about the Hearsay exception where the availability of the declarant is immaterial and certain characteristics of the declarant such as present sense impression, excited utterance, and recorded recollection are also observed while giving their testimony?",Rule 801 ,Rule 802 ,Rule 803 ,Rule 804 ,,,,Rule 803 
Question #589 Topic 1 ,"Williamson is a forensic investigator. While investigating a case of data breach at a company, he is maintaining a document that records details such as the forensic processes applied on the collected evidence, particulars of people handling it, the dates and times when it is being handled, and the place of storage of the evidence. What do you call this document?",Authorization form ,Consent form ,Chain of custody ,Log book ,,,,Chain of custody 
Question #590 Topic 1 ,Which of the following is a requirement for senders as per the CAN-SPAM act?,Emails must not contain information regarding how to stop receiving emails from the sender in future ,Senders should never share their physical postal address in the email ,Senders cannot use misleading or false header information ,Senders must use deceptive subject lines ,,,,Senders cannot use misleading or false header information 
Question #591 Topic 1 ,Donald made an OS disk snapshot of a compromised Azure VM under a resource group being used by the affected company as a part of forensic analysis process. He then created a vhd file out of the snapshot and stored it in a file share and as a page blob as backup in a storage account under different region. What is the next thing he should do as a security measure?,Delete the OS disk of the affected VM altogether ,Delete the snapshot from the source resource group ,Recommend changing the access policies followed by the company ,Create another VM by using the snapshot ,,,,Delete the snapshot from the source resource group 
Question #592 Topic 1 ,Identify the location of Recycle Bin on a Windows 7 machine that uses NTFS file system to store and retrieve files on the hard disk.,Drive:\RECYCLER ,Drive:\RECYCLED ,Drive:\$Recycle.Bin ,C:\RECYCLED ,,,,Drive:\$Recycle.Bin 
Question #593 Topic 1 ,"Which ""Standards and Criteria"" under SWDGE states that ""the agency must use hardware and software that are appropriate and effective for the seizure or examination procedure""?",Standards and Criteria 1.4 ,Standards and Criteria 1.5 ,Standards and Criteria 1.6 ,Standards and Criteria 1.7 ,,,,Standards and Criteria 1.5 
Question #594 Topic 1 ,"A call detail record (CDR) provides metadata about calls made over a phone service. From the following data fields, which one is not contained in a CDR.",A unique sequence number identifying the record ,The call duration ,Phone number receiving the call ,The language of the call ,,,,The language of the call 
Question #595 Topic 1 ,"""In exceptional circumstances, where a person finds it necessary to access original data held on a computer or on storage media, that person must be competent to do so and be able to explain his/her actions and the impact of those actions on the evidence, in the court."" Which ACPO principle states this?",Principle 1 ,Principle 2 ,Principle 3 ,Principle 4 ,,,,Principle 2 
Question #596 Topic 1 ,"On NTFS file system, which of the following tools can a forensic investigator use in order to identify timestomping of evidence files?",Exiv2 ,analyzeMFT ,Timestomp ,wbStego ,,,,Timestomp 
Question #597 Topic 1 ,"Matthew has been assigned the task of analyzing a suspicious MS Office document via static analysis over an Ubuntu-based forensic machine. He wants to see what type of document it is, whether it is encrypted, or contains any flash objects/VBA macros. Which of the following python-based script should he run to get relevant information?",oleid.py ,oleform.py ,oledir.py ,pdfid.py ,,,,oleid.py 
Question #598 Topic 1 ,"Before accessing digital evidence from victims, witnesses, or suspects, on their electronic devices, what should the investigator do first to respect legal privacy requirements?",Protect the device against external communication ,Remove the battery or turn-off the device ,Notify the fact to the local authority or employer ,Obtain a formal written consent to search ,,,,Obtain a formal written consent to search 
Question #599 Topic 1 ,"During a forensic investigation, a large number of files were collected. The investigator needs to evaluate ownership and accountability of those files. Therefore, he begins to identify attributes such as ""author name,"" ""organization name,"" ""network name,"" or any additional supporting data that is meant for the owner's identification purpose. Which term describes these attributes?",Metadata ,Metabase ,Data index ,Data header ,,,,Metadata 
Question #600 Topic 1 ,"Derrick, a forensic specialist, was investigating an active computer that was executing various processes. Derrick wanted to check whether this system was used in an incident that occurred earlier. He started inspecting and gathering the contents of RAM, cache, and DLLs to identify incident signatures. Identify the data acquisition method employed by Derrick in the above scenario.",Dead data acquisition ,Non-volatile data acquisition ,Static data acquisition ,Live data acquisition ,,,,Live data acquisition 
Question #601 Topic 1 ,"When analyzing logs, it is important that the clocks of all the network devices are synchronized. Which protocol will help in synchronizing these clocks?",UTC ,PTP ,UCT ,NTP ,,,,NTP 
Question #602 Topic 1 ,What happens to the header of the file once it is deleted from the Windows OS file systems?,The OS replaces the entire hex byte coding of the file ,"The hex byte coding of the file remains the same, but the file location differs ",The OS replaces the second letter of a deleted file name with a hex byte code: Eh5 ,The OS replaces the first letter of a deleted file name with a hex byte code: E5h ,,,,The OS replaces the first letter of a deleted file name with a hex byte code: E5h 
Question #603 Topic 1 ,"A file requires 10 KB space to be saved on a hard disk partition. An entire cluster of 32 KB has been allocated for this file. The remaining, unused space of 22 KB on this cluster will be identified as ____________.",Swap space ,Cluster space ,Slack space ,Sector space ,,,,Slack space 
Question #604 Topic 1 ,"Which layer in the IoT architecture is comprised of hardware parts such as sensors, RFID tags, and devices that play an important role in data collection?",Access gateway layer ,Application layer ,Edge technology layer ,Middleware layer ,,,,Edge technology layer 
Question #605 Topic 1 ,Which of the following tools will allow a forensic investigator to acquire the memory dump of a suspect machine so that it may be investigated on a forensic workstation to collect evidentiary data like processes and Tor browser artifacts?,DB Browser SQLite ,Belkasoft Live RAM Capturer and AccessData FTK Imager ,Bulk Extractor ,Hex Editor ,,,,Belkasoft Live RAM Capturer and AccessData FTK Imager 
Question #606 Topic 1 ,"""No action taken by law enforcement agencies or their agents should change data held on a computer or storage media which may subsequently be relied upon in court"" - this principle is advocated by which of the following?",FBI Cyber Division ,Scientific Working Group on Imaging Technology (SWGIT) ,The Association of Chief Police Officers (ACPO) Principles of Digital Evidence ,Locard's exchange principle ,,,,The Association of Chief Police Officers (ACPO) Principles of Digital Evidence 
Question #607 Topic 1 ,"Cloud forensic investigations impose challenges related to multi-jurisdiction and multi-tenancy aspects. To have a better understanding of the roles and responsibilities between the cloud service provider (CSP) and the client, which document should the forensic investigator review?",National and local regulation ,Service level agreement ,Key performance indicator ,Service level management ,,,,Service level agreement 
Question #608 Topic 1 ,"For the purpose of preserving the evidentiary chain of custody, which of the following labels is not appropriate?",SSN of the person collecting the evidence ,Exact location the evidence was collected from ,Relevant circumstances surrounding the collection ,General description of the evidence ,,,,SSN of the person collecting the evidence 
Question #609 Topic 1 ,"During an investigation, the first responders stored mobile devices in specific containers to provide network isolation. All the following are examples of such pieces of equipment, except for:",Faraday bag ,VirtualBox ,Wireless StrongHold bag ,RF shield box ,,,,VirtualBox 
Question #610 Topic 1 ,What is the extension used by Windows OS for shortcut files present on the machine?,.lnk ,.dat ,.log ,.pf ,,,,.lnk 
Question #611 Topic 1 ,Consider a scenario where the perpetrator of a dark web crime has uninstalled Tor browser from their computer after committing the crime. The computer has been seized by law enforcement so they can investigate it for artifacts of Tor browser usage. Which of the following should the investigators examine to establish the use of Tor browser on the suspect machine?,Swap files ,Security logs ,Files in Recycle Bin ,Prefetch files ,,,,Prefetch files 
Question #612 Topic 1 ,"Harry has collected a suspicious executable file from an infected system and seeks to reverse its machine code to instructions written in assembly language.
Which tool should he use for this purpose?",HashCalc ,Ollydbg ,BinText ,oledump ,,,,Ollydbg 
Question #613 Topic 1 ,"Maria has executed a suspicious executable file in a controlled environment and wants to see if the file adds/modifies any registry value after execution via
Windows Event Viewer. Which of the following event ID should she look for in this scenario?",Event ID 4657 ,Event ID 4688 ,Event ID 7040 ,Event ID 4624 ,,,,Event ID 4657 
Question #614 Topic 1 ,"Edgar is part of the FBI's forensic media and malware analysis team; he is analyzing a current malware and is conducting a thorough examination of the suspect system, network, and other connected devices. Edgar's approach is to execute the malware code to know how it interacts with the host system and its impacts on it. He is also using a virtual machine and a sandbox environment.
What type of malware analysis is Edgar performing?",VirusTotal analysis ,Static analysis ,Malware disassembly ,Dynamic malware analysis/behavioral analysis ,,,,Dynamic malware analysis/behavioral analysis 
Question #615 Topic 1 ,"An investigator is examining a file to identify any potentially malicious content. To avoid code execution and still be able to uncover hidden indicators of compromise (IOC), which type of examination should the investigator perform:",Dynamic analysis ,Threat hunting ,Threat analysis ,Static analysis ,,,,Static analysis 
Question #616 Topic 1 ,Rule 1002 of Federal Rules of Evidence (US) talks about ______________.,Admissibility of duplicates ,Admissibility of original ,Admissibility of other evidence of contents ,Requirement of original ,,,,Requirement of original 
Question #617 Topic 1 ,Which of the following is the most effective tool for acquiring volatile data from a Windows-based system?,Helix ,Datagrab ,Coreography ,Ethereal ,,,,Helix 
Question #618 Topic 1 ,"Jacob, a cybercrime investigator, joined a forensics team to participate in a criminal case involving digital evidence. After the investigator collected all the evidence and presents it to the court, the judge dropped the case and the defense attorney pressed charges against Jacob and the rest of the forensics team for unlawful search and seizure. What forensics privacy issue was not addressed prior to collecting the evidence?",Compliance with the Third Amendment of the U.S. Constitution ,None of these ,Compliance with the Second Amendment of the U.S. Constitution ,Compliance with the Fourth Amendment of the U.S. Constitution ,,,,Compliance with the Fourth Amendment of the U.S. Constitution 
Question #619 Topic 1 ,"This is a statement, other than one made by the declarant while testifying at the trial or hearing, offered in evidence to prove the truth of the matter asserted.
Which among the following is suitable for the above statement?",Rule 1001 ,Testimony by the accused ,Hearsay rule ,Limited admissibility ,,,,Hearsay rule 
Question #620 Topic 1 ,"Jack is reviewing file headers to verify the file format and hopefully find more information of the file. After a careful review of the data chunks through a hex editor;
Jack finds the binary value 0xffd8ff. Based on the above information, what type of format is the file/image saved as?",BMP ,ASCII ,JPEG ,GIF ,,,,JPEG 
Question #621 Topic 1 ,Which among the following acts has been passed by the U.S. Congress to protect investors from the possibility of fraudulent accounting activities by corporations?,Gramm-Leach-Bliley act ,Federal Information Security Management act of 2002 ,Health Insurance Probability and Accountability act of 1996 ,Sarbanes-Oxley act of 2002 ,,,,Sarbanes-Oxley act of 2002 
Question #622 Topic 1 ,"Simona has written a regular expression for the detection of web application-specific attack attempt that reads as /((\%3C)|<)((\%2F)| V)*[a-z0-9\%]+((\%3E)|>)/ix.
Which of the following does the part ((\%3E)|>) look for?",Forward slash for a closing tag or its hex equivalent ,Alphanumeric string or its hex equivalent ,Closing angle bracket or its hex equivalent ,Opening angle bracket or its hex equivalent ,,,,Closing angle bracket or its hex equivalent 
Question #623 Topic 1 ,"Web browsers can store relevant information from user activities. Forensic investigators may retrieve files, lists, access history, cookies, among other digital footprints. Which tool can contribute to this task?",MZCacheView ,Google Chrome Recovery Utility ,Task Manager ,Most Recently Used (MRU) list ,,,,MZCacheView 
Question #624 Topic 1 ,Which of the following statements is true with respect to SSDs (solid-state drives)?,"Like HDDs, SSDs also have moving parts ","SSDs contain tracks, clusters, and sectors to store data ","Faster data access, lower power usage, and higher reliability are some of the major advantages of SSDs over HDDs ",SSDs cannot store non-volatile data ,,,,"Faster data access, lower power usage, and higher reliability are some of the major advantages of SSDs over HDDs "
Question #625 Topic 1 ,"When installed on a Windows machine, which port does the Tor browser use to establish a network connection via Tor nodes?",49664/49665 ,49667/49668 ,9150/9151 ,7680 ,,,,9150/9151 
Question #626 Topic 1 ,What command-line tool enables forensic investigator to establish communication between an Android device and a forensic workstation in order to perform data acquisition from the device?,SDK Manager ,Android Debug Bridge ,Xcode ,APK Analyzer ,,,,Android Debug Bridge 
Question #627 Topic 1 ,In forensics ____________ are used to view stored or deleted data from both files and disk sectors.,Hex editors ,SIEM tools ,Hash algorithms ,Host interfaces ,,,,Hex editors 
Question #628 Topic 1 ,Place the following in order of volatility from most volatile to the least volatile.,"Archival media, temporary file systems, disk storage, archival media, register and cache ","Register and cache, temporary file systems, routing tables, disk storage, archival media ","Registers and cache, routing tables, temporary file systems, disk storage, archival media ","Registers and cache, routing tables, temporary file systems, archival media, disk storage ",,,,"Registers and cache, routing tables, temporary file systems, disk storage, archival media "
Question #629 Topic 1 ,Which of the following event correlation approach is an advanced correlation method that assumes and predicts what an attacker can do next after the attack by studying the statistics and probability and uses only two variables?,Rule-based approach ,Vulnerability-based approach ,Route correlation ,Bayesian correlation ,,,,Bayesian correlation 
Question #630 Topic 1 ,"A clothing company has recently deployed a website on its latest product line to increase its conversion rate and base of customers. Andrew, the network administrator recently appointed by the company, has been assigned with the task of protecting the website from intrusion and vulnerabilities. Which of the following tool should Andrew consider deploying in this scenario?",Kon-Boot ,Recuva ,CryptaPix ,ModSecurity ,,,,ModSecurity 
Question #631 Topic 1 ,"Adam is thinking of establishing a hospital in the US and approaches John, a software developer to build a site and host it for him on one of the servers, which would be used to store patient health records. He has learned from his legal advisors that he needs to have the server's log data reviewed and managed according to certain standards and regulations. Which of the following regulations are the legal advisors referring to?",Health Insurance Portability and Accountability Act of 1996(HIPAA) ,Payment Card Industry Data Security Standard (PCI DSS) ,Data Protection Act of 2018 ,Electronic Communications Privacy Act ,,,,Health Insurance Portability and Accountability Act of 1996(HIPAA) 
Question #632 Topic 1 ,"A computer forensics investigator or forensic analyst is a specially trained professional who works with law enforcement as well as private businesses to retrieve information from computers and other types of data storage devices. For this, the analyst should have an excellent working knowledge of all aspects of the computer. Which of the following is not a duty of the analyst during a criminal investigation?",To recover data from suspect devices ,To fill the chain of custody ,To create an investigation report ,To enforce the security of all devices and software in the scene ,,,,To enforce the security of all devices and software in the scene 
Question #633 Topic 1 ,Jeff is a forensics investigator for a government agency's cyber security office. Jeff is tasked with acquiring a memory dump of a Windows 10 computer that was involved in a DDoS attack on the government agency's web application. Jeff is onsite to collect the memory. What tool could Jeff use?,Memcheck ,RAMMapper ,Autopsy ,Volatility ,,,,Volatility 
Question #634 Topic 1 ,SO/IEC 17025 is an accreditation for which of the following:,CHFI issuing agency ,Chain of custody ,Encryption ,Forensics lab licensing ,,,,Forensics lab licensing 
Question #635 Topic 1 ,"Brian has the job of analyzing malware for a software security company. Brian has setup a virtual environment that includes virtual machines running various versions of OSes. Additionally, Brian has setup separated virtual networks within this environment. The virtual environment does not connect to the company's intranet nor does it connect to the external Internet. With everything setup, Brian now received an executable file from client that has undergone a cyberattack.
Brian ran the executable file in the virtual environment to see what it would do. What type of analysis did Brian perform?",Status malware analysis ,Static OS analysis ,Static malware analysis ,Dynamic malware analysis ,,,,Dynamic malware analysis 
Question #636 Topic 1 ,_____________ allows a forensic investigator to identify the missing links during investigation.,Chain of custody ,Exhibit numbering ,Evidence preservation ,Evidence reconstruction ,,,,Evidence reconstruction 
Question #637 Topic 1 ,An investigator seized a notebook device installed with a Microsoft Windows OS. Which type of files would support an investigation of the data size and structure in the device?,APFS and HFS ,Ext2 and Ext4 ,HFS and GNUC ,NTFS and FAT ,,,,NTFS and FAT 
Question #638 Topic 1 ,"During an investigation, Noel found a SIM card from the suspect's mobile. The ICCID on the card is 8944245252001451548.
What does the first four digits (89 and 44) in the ICCID represent?",TAC and industry identifier ,Industry identifier and country code ,Country code and industry identifier ,Issuer identifier number and TAC ,,,,Industry identifier and country code 
Question #639 Topic 1 ,"Frank, a cloud administrator in his company, needs to take backup of the OS disks of two Azure VMs that store business-critical data. Which type of Azure blob storage can he use for this purpose?",Append blob ,Medium blob ,Block blob ,Page blob ,,,,Page blob 
Question #640 Topic 1 ,Which of the following Windows event logs record events related to device drives and hardware changes?,Application log ,Security log ,Forwarded events log ,System log ,,,,System log 
Question #641 Topic 1 ,"Which of the following applications will allow a forensic investigator to track the user login sessions and user transactions that have occurred on an MS SQL
Server?",Event Log Explorer ,ApexSQL Audit ,Notepad++ ,netcat ,,,,ApexSQL Audit 
Question #642 Topic 1 ,"Which of the following methods of mobile device data acquisition captures all the data present on the device, as well as all deleted data and access to unallocated space?",Direct acquisition ,Physical acquisition ,Logical acquisition ,Manual acquisition ,,,,Physical acquisition 
Question #643 Topic 1 ,Which following forensic tool allows investigator to detect and extract hidden streams on NTFS drive?,Autopsy ,TimeStomp ,analyzeMFT ,Stream Detector ,,,,Stream Detector 
Question #644 Topic 1 ,"According to RFC 3227, which of the following is considered as the most volatile item on a typical system?",Archival media ,Temporary system files ,Kernel statistics and memory ,Registers and cache ,,,,Registers and cache 
Question #645 Topic 1 ,"In Java, when multiple applications are launched, multiple Dalvik Virtual Machine instances occur that consume memory and time. To avoid that. Android implements a process that enables low memory consumption and quick start-up time. What is the process called?",Init ,Zygote ,Daemon ,Media server ,,,,Zygote 
Question #646 Topic 1 ,"In which IoT attack does the attacker use multiple forged identities to create a strong illusion of traffic congestion, affecting communication between neighboring nodes and networks?",Blueborne attack ,Replay attack ,Sybil attack ,Jamming attack ,,,,Sybil attack 
Question #647 Topic 1 ,Data density of a disk drive is calculated by using _________.,"Track density, areal density, and bit density. ","Track space, bit area, and slack space. ","Slack space, bit density, and slack density. ","Track density, areal density, and slack density. ",,,,"Track density, areal density, and bit density. "
Question #648 Topic 1 ,"James, a forensics specialist, was tasked with investigating a Windows XP machine that was used for malicious online activities. During the investigation, he recovered certain deleted files from Recycle Bin to identify attack clues.
Identify the location of Recycle Bin in Windows XP system.",local/share/Trash ,Drive:\RECYCLER\ ,Drive:\RECYCLED ,Drive:\$Recycle.Bin\ ,,,,Drive:\RECYCLER\ 
Question #649 Topic 1 ,Robert needs to copy an OS disk snapshot of a compromised VM to a storage account in different region for further investigation. Which of the following should he use in this scenario?,Azure Active Directory ,Azure Portal ,Azure CLI ,Azure Monitor ,,,,Azure Portal 
Question #650 Topic 1 ,Choose the layer in iOS architecture that provides frameworks for iOS app development?,Core OS ,Core services ,Media services ,Cocoa Touch ,,,,Cocoa Touch 
Question #651 Topic 1 ,"A forensic analyst has been tasked with investigating unusual network activity inside a retail company's network. Employees complain of not being able to access services, frequent rebooting, and anomalies in log files. The investigator requested log files from the IT administrator and after carefully reviewing them, he finds the following log entry:

What type of attack was performed on the companies' web application?",Directory transversal ,Unvalidated input ,SQL injection ,Log tampering ,,,,SQL injection 
Question #652 Topic 1 ,"An investigator wants to extract passwords from SAM and System Files. Which tool can the investigator use to obtain a list of users, passwords, and their hashes in this case?",Nuix ,FileMerlin ,PWdump7 ,HashKey ,,,,PWdump7 
Question #653 Topic 1 ,"Consider a scenario where a forensic investigator is performing malware analysis on a memory dump acquired from a victim's computer. The investigator uses
Volatility Framework to analyze RAM contents: which plugin helps investigator to identify hidden processes or injected code/DLL in the memory dump?",malfind ,pslist ,mallist ,malscan ,,,,malfind 
Question #654 Topic 1 ,Which set of anti-forensic tools/techniques allows a program to compress and/or encrypt an executable file to hide attack tools from being detected by reverse- engineering or scanning?,Emulators ,Botnets ,Password crackers ,Packers ,,,,Packers 
Question #655 Topic 1 ,"A cybercriminal is attempting to remove evidence from a Windows computer. He deletes the file evidence1.doc, sending it to Windows Recycle Bin. The cybercriminal then empties the Recycle Bin. After having been removed from the Recycle Bin, what will happen to the data?",The data will remain in its original clusters until it is overwritten ,The data will be overwritten with zeroes ,The data will be moved to new clusters in unallocated space ,"The data will become corrupted, making it unrecoverable ",,,,The data will remain in its original clusters until it is overwritten 
Question #656 Topic 1 ,"You are the incident response manager at a regional bank. While performing routine auditing of web application logs, you find several attempted login submissions that contain the following strings:
< SCRIPT type=""text/javascript"" >
var adr = '../evil.php?cakemonster=' + escape(document.cookie);
< /SCRIPT >
What kind of attack has occurred?",Cross-site scripting ,Cross-site request forgery ,Buffer overflow ,SQL injection ,,,,Cross-site scripting 
Question #657 Topic 1 ,Which of the following statements pertaining to First Response is true?,First Response is neither a part of pre-investigation phase nor a part of investigation phase. It only involves attending to a crime scene first and taking measures that assist forensic investigators in executing their tasks in the investigation phase more efficiently ,First Response is a part of the post-investigation phase ,First Response is a part of the investigation phase ,First Response is a part of the pre-investigation phase ,,,,First Response is neither a part of pre-investigation phase nor a part of investigation phase. It only involves attending to a crime scene first and taking measures that assist forensic investigators in executing their tasks in the investigation phase more efficiently 
Question #658 Topic 1 ,Storage location of Recycle Bin for NTFS file systems (Windows Vista and later) is located at:,Drive:\RECYCLE.BIN ,Drive:\$Recycle.Bin ,Drive:\REYCLED ,Drive:\RECYCLER ,,,,Drive:\$Recycle.Bin 
Question #659 Topic 1 ,"Which of the following attacks refers to unintentional download of malicious software via the Internet? Here, an attacker exploits flaws in browser software to install malware merely by the user visiting the malicious website.",Drive-by downloads ,Phishing ,Internet relay chats ,Malvertising ,,,,Drive-by downloads 
Question #660 Topic 1 ,Which of the following directory contains the binary files or executables required for system maintenance and administrative tasks on a Linux system?,/lib ,/bin ,/usr ,/sbin ,,,,/sbin 
Question #661 Topic 1 ,The information security manager at a national legal firm has received several alerts from the intrusion detection system that a known attack signature was detected against the organization's file server. What should the information security manager do first?,Disconnect the file server from the network ,Update the anti-virus definitions on the file server ,Report the incident to senior management ,Manually investigate to verify that an incident has occurred ,,,,Manually investigate to verify that an incident has occurred 
Question #662 Topic 1 ,An investigator needs to perform data acquisition from a storage media without altering its contents to maintain the integrity of the content. The approach adopted by the investigator relies upon the capacity of enabling read-only access to the storage media. Which tool should the investigator integrate into his/her procedures to accomplish this task?,Data duplication tool ,BitLocker ,Write blocker ,Backup tool ,,,,Write blocker 
Question #663 Topic 1 ,You are a forensic investigator who is analyzing a hard drive that was recently collected as evidence. You have been unsuccessful at locating any meaningful evidence within the file system and suspect a drive wiping utility may have been used. You have reviewed the keys within the software hive of the Windows registry and did not find any drive wiping utilities. How can you verify that drive wiping software was used on the hard drive?,Check the list of installed programs ,Look for distinct repeating patterns on the hard drive at the bit level ,"Document in your report that you suspect a drive wiping utility was used, but no evidence was found ","Load various drive wiping utilities offline, and export previous run reports ",,,,"Document in your report that you suspect a drive wiping utility was used, but no evidence was found "
Question #664 Topic 1 ,Chloe is a forensic examiner who is currently cracking hashed passwords for a crucial mission and hopefully solve the case. She is using a lookup table used for recovering a plain text password from cipher text; it contains word list and brute-force list along with their computed hash values. Chloe is also using a graphical generator that supports SHA1. a. What password technique is being used? b. What tool is Chloe using?,a. Cain & Able b. Rten ,a. Rainbow Tables b. Winrtgen ,a. Dictionary attack b. Cisco PIX ,a. Brute-force b. MScache ,,,,a. Rainbow Tables b. Winrtgen 
Question #665 Topic 1 ,"This law sets the rules for commercial email, establishes requirements for commercial messages, gives recipients the right to have you stop emailing them, and spells out tough penalties for violations.",European Anti-Spam act ,Federal Spam act ,The CAN-SPAM act ,Telemarketing act ,,,,The CAN-SPAM act 
Question #666 Topic 1 ,"To understand the impact of a malicious program after the booting process and to collect recent information from the disk partition, an investigator should evaluate the content of the:",GRUB ,UEFI ,MBR ,BIOS ,,,,MBR 
